timestamp,seed,filter_n_atoms,input_scale_factor,diffusion_loss_type,diffusion_noise_schedule,val_l2,test_l2,atm_stable,mol_stable
2025-11-07T23:00:26,42,9,0.1,l2,polynomial_2,5.665,5.779,34.222,0.0
2025-11-07T23:07:07,42,9,0.2,l2,polynomial_2,7.092,7.327,41.667,0.0
2025-11-07T23:13:47,42,9,0.4,l2,polynomial_2,9.019,9.048,50.0,0.0
2025-11-07T23:20:33,42,9,0.6,l2,polynomial_2,10.864,9.952,58.556,2.0
2025-11-07T23:27:17,42,9,0.8,l2,polynomial_2,11.389,10.496,58.667,4.0
2025-11-07T23:34:00,42,9,1.0,l2,polynomial_2,11.904,10.562,72.111,11.0
2025-11-07T23:40:45,42,9,1.2,l2,polynomial_2,12.124,10.801,71.778,13.0
2025-11-07T23:47:32,42,9,1.4,l2,polynomial_2,12.625,11.097,65.889,7.0
2025-11-07T23:54:19,42,9,1.6,l2,polynomial_2,12.891,11.176,70.444,12.0
2025-11-08T00:01:05,42,9,1.8,l2,polynomial_2,12.6,11.049,71.889,10.0
2025-11-08T00:07:51,42,9,2.0,l2,polynomial_2,12.262,10.824,70.222,12.0
2025-11-08T00:14:38,42,9,3.0,l2,polynomial_2,11.382,10.196,79.556,20.0
2025-11-08T00:21:24,42,9,4.0,l2,polynomial_2,10.192,9.692,83.333,25.0
2025-11-08T00:28:11,42,9,5.0,l2,polynomial_2,9.731,9.28,81.222,18.0
2025-11-08T00:34:58,42,9,6.0,l2,polynomial_2,9.55,9.493,82.111,15.0
2025-11-08T00:41:51,42,9,7.0,l2,polynomial_2,10.136,10.237,82.333,31.0
2025-11-08T00:48:37,42,9,8.0,l2,polynomial_2,9.862,10.051,83.778,28.0
2025-11-08T00:55:27,42,9,9.0,l2,polynomial_2,9.766,10.015,82.444,22.0
2025-11-08T01:02:21,42,9,10.0,l2,polynomial_2,9.738,10.093,83.0,24.0
2025-11-08T01:10:07,42,12,0.1,l2,polynomial_2,8.414,7.791,26.417,0.0
2025-11-08T01:17:56,42,12,0.2,l2,polynomial_2,10.42,10.13,42.583,0.0
2025-11-08T01:25:43,42,12,0.4,l2,polynomial_2,13.527,12.705,55.417,0.0
2025-11-08T01:33:44,42,12,0.6,l2,polynomial_2,15.566,14.197,63.0,1.0
2025-11-08T01:42:14,42,12,0.8,l2,polynomial_2,16.572,14.954,68.75,3.0
2025-11-08T01:50:48,42,12,1.0,l2,polynomial_2,16.764,15.104,72.167,4.0
2025-11-08T01:58:38,42,12,1.2,l2,polynomial_2,17.354,15.37,66.917,2.0
2025-11-08T02:06:21,42,12,1.4,l2,polynomial_2,17.506,15.338,73.583,2.0
2025-11-08T02:14:02,42,12,1.6,l2,polynomial_2,17.42,15.363,73.917,4.0
2025-11-08T02:21:41,42,12,1.8,l2,polynomial_2,16.937,15.259,75.917,5.0
2025-11-08T02:29:20,42,12,2.0,l2,polynomial_2,16.963,14.877,70.083,4.0
2025-11-08T02:36:57,42,12,3.0,l2,polynomial_2,14.97,13.939,78.0,10.0
2025-11-08T02:44:35,42,12,4.0,l2,polynomial_2,17.216,16.973,75.75,9.0
2025-11-08T02:52:13,42,12,5.0,l2,polynomial_2,16.431,16.683,72.0,7.0
2025-11-08T02:59:51,42,12,6.0,l2,polynomial_2,14.246,14.756,81.0,13.0
2025-11-08T03:07:29,42,12,7.0,l2,polynomial_2,15.014,15.912,79.083,10.0
2025-11-08T03:15:09,42,12,8.0,l2,polynomial_2,13.949,15.065,83.25,14.0
2025-11-08T03:22:55,42,12,9.0,l2,polynomial_2,15.592,16.102,82.333,14.0
2025-11-08T03:30:43,42,12,10.0,l2,polynomial_2,14.38,15.519,81.5,11.0
2025-11-08T03:39:39,42,16,0.1,l2,polynomial_2,9.315,9.894,45.375,0.0
2025-11-08T03:48:35,42,16,0.2,l2,polynomial_2,12.589,13.251,50.0,0.0
2025-11-08T03:57:29,42,16,0.4,l2,polynomial_2,17.227,17.121,70.188,0.0
2025-11-08T04:06:29,42,16,0.6,l2,polynomial_2,20.757,20.348,63.813,0.0
2025-11-08T04:15:34,42,16,0.8,l2,polynomial_2,21.576,20.66,77.438,2.0
2025-11-08T04:24:34,42,16,1.0,l2,polynomial_2,23.044,21.835,77.938,3.0
2025-11-08T04:33:31,42,16,1.2,l2,polynomial_2,23.549,22.034,78.875,3.0
2025-11-08T04:42:30,42,16,1.4,l2,polynomial_2,23.604,21.739,80.625,6.0
2025-11-08T04:51:30,42,16,1.6,l2,polynomial_2,23.255,21.339,81.875,5.0
2025-11-08T05:00:25,42,16,1.8,l2,polynomial_2,23.347,21.68,81.875,5.0
2025-11-08T05:09:21,42,16,2.0,l2,polynomial_2,22.578,21.308,83.0,6.0
2025-11-08T05:18:17,42,16,3.0,l2,polynomial_2,19.673,19.174,86.625,14.0
2025-11-08T05:27:14,42,16,4.0,l2,polynomial_2,21.326,21.953,83.5,5.0
2025-11-08T05:36:13,42,16,5.0,l2,polynomial_2,22.107,23.328,81.0,3.0
2025-11-08T05:45:10,42,16,6.0,l2,polynomial_2,22.436,23.643,85.688,7.0
2025-11-08T05:54:06,42,16,7.0,l2,polynomial_2,26.364,28.162,70.188,0.0
2025-11-08T06:03:08,42,16,8.0,l2,polynomial_2,25.294,27.829,56.938,2.0
2025-11-08T06:12:06,42,16,9.0,l2,polynomial_2,42.593,42.913,37.375,0.0
2025-11-08T06:21:02,42,16,10.0,l2,polynomial_2,23.276,25.267,81.062,7.0
2025-11-08T06:31:51,42,20,0.1,l2,polynomial_2,10.692,10.739,29.7,0.0
2025-11-08T06:42:39,42,20,0.2,l2,polynomial_2,15.181,15.56,60.0,0.0
2025-11-08T06:53:29,42,20,0.4,l2,polynomial_2,21.648,21.743,60.15,0.0
2025-11-08T07:04:20,42,20,0.6,l2,polynomial_2,24.866,24.721,73.0,0.0
2025-11-08T07:15:14,42,20,0.8,l2,polynomial_2,26.689,26.342,77.0,2.0
2025-11-08T07:26:08,42,20,1.0,l2,polynomial_2,26.524,26.107,84.5,5.0
2025-11-08T07:37:03,42,20,1.2,l2,polynomial_2,27.11,26.716,84.15,2.0
2025-11-08T07:47:58,42,20,1.4,l2,polynomial_2,26.6,26.29,87.85,14.0
2025-11-08T07:58:53,42,20,1.6,l2,polynomial_2,27.413,26.771,85.95,6.0
2025-11-08T08:09:49,42,20,1.8,l2,polynomial_2,27.496,26.706,86.75,6.0
2025-11-08T08:20:47,42,20,2.0,l2,polynomial_2,26.34,25.053,88.95,15.0
2025-11-08T08:31:47,42,20,3.0,l2,polynomial_2,24.817,24.104,90.6,14.0
2025-11-08T08:42:48,42,20,4.0,l2,polynomial_2,27.268,28.496,85.05,6.0
2025-11-08T08:53:41,42,20,5.0,l2,polynomial_2,51.861,53.599,57.1,0.0
2025-11-08T09:04:37,42,20,6.0,l2,polynomial_2,53.409,57.801,8.15,0.0
2025-11-08T09:15:32,42,20,7.0,l2,polynomial_2,27.843,30.254,79.35,0.0
2025-11-08T09:26:23,42,20,8.0,l2,polynomial_2,51.857,54.519,15.3,0.0
2025-11-08T09:37:18,42,20,9.0,l2,polynomial_2,50.776,57.083,1.35,0.0
2025-11-08T09:48:13,42,20,10.0,l2,polynomial_2,44.877,50.103,35.5,0.0
2025-11-08T09:55:20,42,9,0.1,l2,cosine,5.356,5.436,23.0,0.0
2025-11-08T10:02:28,42,9,0.2,l2,cosine,6.658,6.904,37.444,0.0
2025-11-08T10:09:34,42,9,0.4,l2,cosine,8.348,8.592,48.556,1.0
2025-11-08T10:16:41,42,9,0.6,l2,cosine,9.993,9.478,55.667,4.0
2025-11-08T10:23:44,42,9,0.8,l2,cosine,11.066,9.97,64.889,7.0
2025-11-08T10:30:47,42,9,1.0,l2,cosine,11.862,10.537,72.444,12.0
2025-11-08T10:37:45,42,9,1.2,l2,cosine,11.815,10.463,75.778,14.0
2025-11-08T10:44:52,42,9,1.4,l2,cosine,12.105,10.525,70.667,12.0
2025-11-08T10:51:53,42,9,1.6,l2,cosine,12.269,10.463,68.333,8.0
2025-11-08T10:58:54,42,9,1.8,l2,cosine,12.559,10.813,68.778,8.0
2025-11-08T11:05:55,42,9,2.0,l2,cosine,12.248,10.567,70.444,15.0
2025-11-08T11:12:56,42,9,3.0,l2,cosine,11.419,10.442,82.556,27.0
2025-11-08T11:20:01,42,9,4.0,l2,cosine,10.394,9.696,83.222,29.0
2025-11-08T11:27:03,42,9,5.0,l2,cosine,9.566,9.408,76.667,20.0
2025-11-08T11:33:59,42,9,6.0,l2,cosine,10.362,9.807,60.556,11.0
2025-11-08T11:41:00,42,9,7.0,l2,cosine,11.837,11.376,10.556,4.0
2025-11-08T11:47:56,42,9,8.0,l2,cosine,9.784,9.558,36.444,5.0
2025-11-08T11:55:03,42,9,9.0,l2,cosine,10.107,9.987,44.333,12.0
2025-11-08T12:02:08,42,9,10.0,l2,cosine,9.794,10.067,13.778,3.0
2025-11-08T12:10:00,42,12,0.1,l2,cosine,7.988,7.283,25.0,0.0
2025-11-08T12:17:54,42,12,0.2,l2,cosine,9.812,9.523,38.75,0.0
2025-11-08T12:25:45,42,12,0.4,l2,cosine,12.593,12.055,55.667,0.0
2025-11-08T12:33:33,42,12,0.6,l2,cosine,14.657,13.558,59.75,0.0
2025-11-08T12:41:21,42,12,0.8,l2,cosine,15.927,14.396,63.25,3.0
2025-11-08T12:49:16,42,12,1.0,l2,cosine,16.265,14.536,70.25,3.0
2025-11-08T12:57:07,42,12,1.2,l2,cosine,16.897,15.032,69.917,5.0
2025-11-08T13:04:57,42,12,1.4,l2,cosine,17.148,14.942,69.333,2.0
2025-11-08T13:12:47,42,12,1.6,l2,cosine,17.229,15.009,72.5,5.0
2025-11-08T13:20:43,42,12,1.8,l2,cosine,16.997,15.032,68.833,4.0
2025-11-08T13:28:32,42,12,2.0,l2,cosine,16.346,14.656,74.75,5.0
2025-11-08T13:36:18,42,12,3.0,l2,cosine,15.498,13.859,78.583,11.0
2025-11-08T13:44:05,42,12,4.0,l2,cosine,16.367,15.745,75.833,8.0
2025-11-08T13:51:54,42,12,5.0,l2,cosine,15.566,15.443,69.5,5.0
2025-11-08T13:59:46,42,12,6.0,l2,cosine,15.987,16.001,8.167,0.0
2025-11-08T14:07:32,42,12,7.0,l2,cosine,15.912,15.998,2.833,1.0
2025-11-08T14:15:22,42,12,8.0,l2,cosine,15.307,15.763,31.333,1.0
2025-11-08T14:23:12,42,12,9.0,l2,cosine,15.405,15.94,12.25,1.0
2025-11-08T14:31:04,42,12,10.0,l2,cosine,15.096,15.478,4.333,1.0
2025-11-08T14:39:57,42,16,0.1,l2,cosine,8.524,9.05,36.062,0.0
2025-11-08T14:48:53,42,16,0.2,l2,cosine,11.589,12.297,50.25,0.0
2025-11-08T14:57:50,42,16,0.4,l2,cosine,16.203,16.343,66.625,0.0
2025-11-08T15:06:45,42,16,0.6,l2,cosine,19.294,18.868,69.75,0.0
