timestamp,seed,filter_n_atoms,input_scale_factor,diffusion_loss_type,diffusion_noise_schedule,val_l2,test_l2,atm_stable,mol_stable
2025-11-10T22:53:53,42,16,1.8,l2_norm_by_num_atoms,polynomial_2,1.45,1.368,82.312,7.0
2025-11-10T23:02:52,42,16,2.0,l2_norm_by_num_atoms,polynomial_2,1.403,1.334,81.375,6.0
2025-11-10T23:11:50,42,16,3.0,l2_norm_by_num_atoms,polynomial_2,1.249,1.227,86.688,12.0
2025-11-10T23:20:51,42,16,4.0,l2_norm_by_num_atoms,polynomial_2,1.189,1.205,88.125,15.0
2025-11-10T23:29:50,42,16,5.0,l2_norm_by_num_atoms,polynomial_2,1.416,1.491,80.688,6.0
2025-11-10T23:38:45,42,16,6.0,l2_norm_by_num_atoms,polynomial_2,2.044,2.093,68.625,1.0
2025-11-10T23:47:43,42,16,7.0,l2_norm_by_num_atoms,polynomial_2,1.235,1.345,87.0,13.0
2025-11-10T23:56:44,42,16,8.0,l2_norm_by_num_atoms,polynomial_2,1.408,1.544,77.25,2.0
2025-11-11T00:05:47,42,16,9.0,l2_norm_by_num_atoms,polynomial_2,1.8,1.905,64.812,0.0
2025-11-11T00:14:45,42,16,10.0,l2_norm_by_num_atoms,polynomial_2,1.463,1.613,74.688,3.0
2025-11-11T00:25:42,42,20,0.1,l2_norm_by_num_atoms,polynomial_2,0.539,0.546,31.15,0.0
2025-11-11T00:36:41,42,20,0.2,l2_norm_by_num_atoms,polynomial_2,0.776,0.79,34.55,0.0
2025-11-11T00:47:37,42,20,0.4,l2_norm_by_num_atoms,polynomial_2,1.08,1.081,60.8,0.0
2025-11-11T00:58:33,42,20,0.6,l2_norm_by_num_atoms,polynomial_2,1.236,1.234,72.25,0.0
2025-11-11T01:09:27,42,20,0.8,l2_norm_by_num_atoms,polynomial_2,1.331,1.316,74.55,2.0
2025-11-11T01:20:23,42,20,1.0,l2_norm_by_num_atoms,polynomial_2,1.344,1.322,81.9,6.0
2025-11-11T01:31:18,42,20,1.2,l2_norm_by_num_atoms,polynomial_2,1.324,1.316,85.75,6.0
2025-11-11T01:42:12,42,20,1.4,l2_norm_by_num_atoms,polynomial_2,1.395,1.375,83.95,4.0
2025-11-11T01:53:05,42,20,1.6,l2_norm_by_num_atoms,polynomial_2,1.343,1.313,86.5,7.0
2025-11-11T02:04:00,42,20,1.8,l2_norm_by_num_atoms,polynomial_2,1.351,1.299,88.15,10.0
2025-11-11T02:15:01,42,20,2.0,l2_norm_by_num_atoms,polynomial_2,1.321,1.264,90.2,17.0
2025-11-11T02:25:57,42,20,3.0,l2_norm_by_num_atoms,polynomial_2,1.388,1.379,85.35,3.0
2025-11-11T02:36:50,42,20,4.0,l2_norm_by_num_atoms,polynomial_2,1.615,1.707,75.35,0.0
2025-11-11T02:47:45,42,20,5.0,l2_norm_by_num_atoms,polynomial_2,1.47,1.551,80.85,1.0
2025-11-11T02:58:32,42,20,6.0,l2_norm_by_num_atoms,polynomial_2,3.01,3.142,28.2,0.0
2025-11-11T03:09:18,42,20,7.0,l2_norm_by_num_atoms,polynomial_2,2.207,2.374,66.3,0.0
2025-11-11T03:20:05,42,20,8.0,l2_norm_by_num_atoms,polynomial_2,2.834,3.002,4.3,0.0
2025-11-11T03:30:56,42,20,9.0,l2_norm_by_num_atoms,polynomial_2,1.359,1.552,77.6,3.0
2025-11-11T03:41:49,42,20,10.0,l2_norm_by_num_atoms,polynomial_2,2.355,2.59,1.5,0.0
2025-11-11T03:48:46,42,9,0.1,l2_norm_by_dim,polynomial_2,0.07,0.071,31.778,0.0
2025-11-11T03:55:43,42,9,0.2,l2_norm_by_dim,polynomial_2,0.087,0.09,41.889,0.0
2025-11-11T04:02:44,42,9,0.4,l2_norm_by_dim,polynomial_2,0.111,0.112,52.222,0.0
2025-11-11T04:09:43,42,9,0.6,l2_norm_by_dim,polynomial_2,0.134,0.122,58.0,2.0
2025-11-11T04:16:41,42,9,0.8,l2_norm_by_dim,polynomial_2,0.14,0.128,57.111,1.0
2025-11-11T04:23:36,42,9,1.0,l2_norm_by_dim,polynomial_2,0.146,0.131,69.222,8.0
2025-11-11T04:30:26,42,9,1.2,l2_norm_by_dim,polynomial_2,0.149,0.132,72.0,8.0
2025-11-11T04:37:21,42,9,1.4,l2_norm_by_dim,polynomial_2,0.152,0.133,72.222,13.0
2025-11-11T04:44:16,42,9,1.6,l2_norm_by_dim,polynomial_2,0.153,0.135,57.667,3.0
2025-11-11T04:51:09,42,9,1.8,l2_norm_by_dim,polynomial_2,0.158,0.137,72.556,9.0
2025-11-11T04:57:57,42,9,2.0,l2_norm_by_dim,polynomial_2,0.157,0.139,75.111,16.0
2025-11-11T05:04:54,42,9,3.0,l2_norm_by_dim,polynomial_2,0.14,0.124,73.667,14.0
2025-11-11T05:11:46,42,9,4.0,l2_norm_by_dim,polynomial_2,0.131,0.121,83.667,24.0
2025-11-11T05:18:37,42,9,5.0,l2_norm_by_dim,polynomial_2,0.135,0.131,80.889,16.0
2025-11-11T05:25:32,42,9,6.0,l2_norm_by_dim,polynomial_2,0.145,0.149,71.0,8.0
2025-11-11T05:32:33,42,9,7.0,l2_norm_by_dim,polynomial_2,0.133,0.132,78.333,10.0
2025-11-11T05:39:30,42,9,8.0,l2_norm_by_dim,polynomial_2,0.125,0.129,83.778,25.0
2025-11-11T05:46:26,42,9,9.0,l2_norm_by_dim,polynomial_2,0.125,0.132,80.778,23.0
2025-11-11T05:53:25,42,9,10.0,l2_norm_by_dim,polynomial_2,0.123,0.131,84.889,30.0
2025-11-11T06:01:15,42,12,0.1,l2_norm_by_dim,polynomial_2,0.078,0.073,25.333,0.0
2025-11-11T06:09:03,42,12,0.2,l2_norm_by_dim,polynomial_2,0.098,0.097,42.583,0.0
2025-11-11T06:16:51,42,12,0.4,l2_norm_by_dim,polynomial_2,0.127,0.121,51.083,0.0
2025-11-11T06:24:38,42,12,0.6,l2_norm_by_dim,polynomial_2,0.144,0.131,62.833,3.0
2025-11-11T06:32:28,42,12,0.8,l2_norm_by_dim,polynomial_2,0.151,0.136,69.417,2.0
2025-11-11T06:40:18,42,12,1.0,l2_norm_by_dim,polynomial_2,0.157,0.14,73.25,2.0
2025-11-11T06:48:07,42,12,1.2,l2_norm_by_dim,polynomial_2,0.162,0.145,76.833,6.0
2025-11-11T06:55:59,42,12,1.4,l2_norm_by_dim,polynomial_2,0.163,0.143,73.25,4.0
2025-11-11T07:03:54,42,12,1.6,l2_norm_by_dim,polynomial_2,0.161,0.142,73.083,3.0
2025-11-11T07:11:44,42,12,1.8,l2_norm_by_dim,polynomial_2,0.157,0.139,73.167,5.0
2025-11-11T07:19:39,42,12,2.0,l2_norm_by_dim,polynomial_2,0.153,0.137,75.417,7.0
2025-11-11T07:27:33,42,12,3.0,l2_norm_by_dim,polynomial_2,0.142,0.131,83.417,11.0
2025-11-11T07:35:24,42,12,4.0,l2_norm_by_dim,polynomial_2,0.151,0.153,75.417,7.0
2025-11-11T07:43:18,42,12,5.0,l2_norm_by_dim,polynomial_2,0.154,0.158,80.417,5.0
2025-11-11T07:51:11,42,12,6.0,l2_norm_by_dim,polynomial_2,0.153,0.157,82.5,12.0
2025-11-11T07:59:02,42,12,7.0,l2_norm_by_dim,polynomial_2,0.149,0.155,77.167,13.0
2025-11-11T08:06:52,42,12,8.0,l2_norm_by_dim,polynomial_2,0.152,0.158,70.917,5.0
2025-11-11T08:14:42,42,12,9.0,l2_norm_by_dim,polynomial_2,0.145,0.15,78.833,11.0
2025-11-11T08:22:30,42,12,10.0,l2_norm_by_dim,polynomial_2,0.155,0.168,75.833,10.0
2025-11-11T08:31:23,42,16,0.1,l2_norm_by_dim,polynomial_2,0.063,0.065,46.375,0.0
2025-11-11T08:40:16,42,16,0.2,l2_norm_by_dim,polynomial_2,0.086,0.09,57.188,0.0
2025-11-11T08:49:16,42,16,0.4,l2_norm_by_dim,polynomial_2,0.121,0.121,64.875,0.0
2025-11-11T08:58:12,42,16,0.6,l2_norm_by_dim,polynomial_2,0.142,0.14,66.75,1.0
2025-11-11T09:07:09,42,16,0.8,l2_norm_by_dim,polynomial_2,0.153,0.147,77.75,2.0
2025-11-11T09:16:05,42,16,1.0,l2_norm_by_dim,polynomial_2,0.16,0.153,76.625,2.0
2025-11-11T09:24:59,42,16,1.2,l2_norm_by_dim,polynomial_2,0.164,0.154,77.25,3.0
2025-11-11T09:33:54,42,16,1.4,l2_norm_by_dim,polynomial_2,0.168,0.157,75.125,2.0
2025-11-11T09:42:46,42,16,1.6,l2_norm_by_dim,polynomial_2,0.167,0.157,79.812,6.0
2025-11-11T09:51:39,42,16,1.8,l2_norm_by_dim,polynomial_2,0.165,0.156,81.438,3.0
2025-11-11T10:00:33,42,16,2.0,l2_norm_by_dim,polynomial_2,0.163,0.156,81.375,6.0
2025-11-11T10:09:37,42,16,3.0,l2_norm_by_dim,polynomial_2,0.152,0.149,80.312,7.0
2025-11-11T10:18:35,42,16,4.0,l2_norm_by_dim,polynomial_2,0.148,0.15,82.5,7.0
2025-11-11T10:27:34,42,16,5.0,l2_norm_by_dim,polynomial_2,0.136,0.144,86.062,11.0
2025-11-11T10:36:36,42,16,6.0,l2_norm_by_dim,polynomial_2,0.148,0.16,84.375,13.0
2025-11-11T10:45:39,42,16,7.0,l2_norm_by_dim,polynomial_2,0.146,0.159,83.75,10.0
2025-11-11T10:54:53,42,16,8.0,l2_norm_by_dim,polynomial_2,0.163,0.178,82.0,6.0
2025-11-11T11:03:49,42,16,9.0,l2_norm_by_dim,polynomial_2,0.216,0.23,16.5,0.0
2025-11-11T11:12:49,42,16,10.0,l2_norm_by_dim,polynomial_2,0.23,0.238,59.0,0.0
2025-11-11T11:23:42,42,20,0.1,l2_norm_by_dim,polynomial_2,0.06,0.061,32.05,0.0
2025-11-11T11:34:36,42,20,0.2,l2_norm_by_dim,polynomial_2,0.086,0.088,34.55,0.0
2025-11-11T11:45:29,42,20,0.4,l2_norm_by_dim,polynomial_2,0.12,0.121,54.9,0.0
2025-11-11T11:56:31,42,20,0.6,l2_norm_by_dim,polynomial_2,0.137,0.137,72.45,0.0
2025-11-11T12:07:32,42,20,0.8,l2_norm_by_dim,polynomial_2,0.145,0.144,78.65,1.0
2025-11-11T12:18:31,42,20,1.0,l2_norm_by_dim,polynomial_2,0.148,0.148,83.95,2.0
2025-11-11T12:29:28,42,20,1.2,l2_norm_by_dim,polynomial_2,0.149,0.149,86.2,13.0
2025-11-11T12:40:24,42,20,1.4,l2_norm_by_dim,polynomial_2,0.152,0.151,84.25,7.0
2025-11-11T12:51:22,42,20,1.6,l2_norm_by_dim,polynomial_2,0.151,0.147,86.45,4.0
2025-11-11T13:02:20,42,20,1.8,l2_norm_by_dim,polynomial_2,0.149,0.144,88.35,3.0
2025-11-11T13:13:15,42,20,2.0,l2_norm_by_dim,polynomial_2,0.149,0.146,89.55,15.0
2025-11-11T13:24:12,42,20,3.0,l2_norm_by_dim,polynomial_2,0.164,0.165,84.05,4.0
2025-11-11T13:35:08,42,20,4.0,l2_norm_by_dim,polynomial_2,0.15,0.154,82.75,4.0
2025-11-11T13:46:07,42,20,5.0,l2_norm_by_dim,polynomial_2,0.148,0.158,82.55,4.0
2025-11-11T13:57:05,42,20,6.0,l2_norm_by_dim,polynomial_2,0.185,0.201,43.15,0.0
2025-11-11T14:07:56,42,20,7.0,l2_norm_by_dim,polynomial_2,0.185,0.372,30.25,0.0
2025-11-11T14:18:43,42,20,8.0,l2_norm_by_dim,polynomial_2,0.27,0.296,0.8,0.0
2025-11-11T14:29:37,42,20,9.0,l2_norm_by_dim,polynomial_2,0.202,0.227,22.35,0.0
2025-11-11T14:40:30,42,20,10.0,l2_norm_by_dim,polynomial_2,0.17,0.195,76.0,2.0
